boro,boro_name,NEIGHBORHOOD,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity,BORO,BORO_NAME,NBHD,NBHD_NAME
3,Brooklyn,3410,prediction,GROSSCON,23,0.9952,0.549878879928021,0.4758907345257646,10.154959753645727,1.0166808853159766,-0.3854208860280174,1.6086424612457135,0.1020941558441558,0.044773146798284334,-0.057321009045871514,0.43854759783341046,0,1.307e-4,1.2e-6,1.307e-4,TRUE,TRUE,TRUE,3,Brooklyn,OLD ML BSN,OLD MILL BASIN
3,Brooklyn,3420,prediction,GROSSCON,400,0.9609,0.942705501266876,0.9476063811059188,8.409008013882776,1.0246766498669442,-0.0711895270805539,1.1143172102809809,0.2596330865520174,0.23586810212762285,-0.023764984424394557,0.9084670419321412,0,0,0,0,TRUE,TRUE,TRUE,3,Brooklyn,PARK SLOPE,PARK SLOPE
3,Brooklyn,3430,prediction,GROSSCON,16,0.9928,0.9331906837755707,0.9620749564572347,6.3101748214460684,1.0153495611766998,-0.04331857883561614,1.0869781198580697,0.22679347721395945,0.20316007649836038,-0.023633400715598992,0.8957932961480062,0,0,0.1485412,0,TRUE,TRUE,TRUE,3,Brooklyn,PK SLOPE S,PARK SLOPE SOUTH
3,Brooklyn,3440,prediction,GROSSCON,155,0.9968,0.9130216904578877,0.9281184028978925,10.13784796491786,1.0241072513222012,-0.06246254753784439,1.0925079747120954,0.2751458958924449,0.25355560555031187,-0.021590290342132966,0.9215314832441731,0,0,3.795e-4,0,TRUE,TRUE,TRUE,3,Brooklyn,PRSPCT HTS,PROSPECT HEIGHTS
3,Brooklyn,3480,prediction,GROSSCON,242,1.0113,0.7850983890160963,0.8304753645696217,8.037365506459032,1.0163602649719456,-0.13184450487117821,1.2085024994872842,0.14255604241139733,0.10646936141171394,-0.036086680999683415,0.7468596883775561,0,0,0,0,TRUE,TRUE,TRUE,3,Brooklyn,SHEEPSHEAD,SHEEPSHEAD BAY
3,Brooklyn,3500,prediction,GROSSCON,52,1.0158,0.6048953985639178,0.6331386343811221,11.561724823606838,1.038025886312395,-0.3121846689084852,1.2976277835143755,0.14401167200995357,0.07995214172392374,-0.06405953028602974,0.5551782060998347,0,0,0,0,TRUE,TRUE,FALSE,3,Brooklyn,SUNSET PRK,SUNSET PARK
3,Brooklyn,3512,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,,3,Brooklyn,WBG-NORTH,WILLIAMSBURG-NORTH
3,Brooklyn,3513,prediction,GROSSCON,11,1.0328,0.8637606778367325,0.05006255212677232,3.89747312117201,1.0030240005282083,-0.11344575301756374,1.2407468154616543,0.06139619038045926,0.03526069890755631,-0.026135491472903043,0.5743141176847157,0.0074097,0.1182972,7.472e-4,0.1182972,TRUE,FALSE,TRUE,3,Brooklyn,WBG-SOUTH,WILLIAMSBURG-SOUTH
3,Brooklyn,3520,prediction,GROSSCON,76,0.999,0.8035748635045737,0.8243120604913609,10.081359521515685,1.0263652519061996,-0.1808738586333347,1.2097365681018208,0.16914463908064392,0.12434792503227247,-0.04479671404837148,0.7351573523591634,0,0,3e-7,0,TRUE,TRUE,TRUE,3,Brooklyn,WINDSOR TR,WINDSOR TERRACE
4,Queens,4040,prediction,GROSSCON,127,1.0052,0.7227620650853764,0.6120429411054146,10.066236348002809,1.020278702982042,-0.18803893443828998,1.317249062077586,0.1338011133214945,0.08323183810238594,-0.05056927521910843,0.6220563942722841,0,0,0,0,TRUE,TRUE,TRUE,4,Queens,ASTORIA,ASTORIA
