"","boro","NEIGHBORHOOD","decile","COOPUNITKEY","GROSSCON","prediction","geometry"
"226",4,4190,5,"40874301020000001-46000   279A",305000,338898.945750248,c(-73.7019819646011, 40.7438725447607)
"227",3,3070,8,"305612003200000002-0000     3E",730000,774906.444852452,c(-73.9855448551108, 40.6353405323453)
"228",4,4220,3,"402141000100000001-0000    519",250000,282095.45099685,c(-73.8471166774916, 40.7234410292772)
"229",1,1201,2,"101341000100000001-0000    11L",480000,457313.911893177,c(-73.968922051687, 40.7537271130998)
"230",1,1201,1,"101333002300000001-0000    822",280000,264531.588675907,c(-73.9708763719043, 40.7479861107679)
"231",4,4590,3,"401340000100000001-0000    C18",255000,250537.063184853,c(-73.9018851758275, 40.7416921558392)
"232",4,4590,8,"400128000700000006-0000     4C",389000,359114.753594213,c(-73.9125552266127, 40.7475645954707)
"233",1,1230,5,"100519004400000001-0000     5H",750000,779807.642693111,c(-74.0030603567502, 40.7271916575393)
"234",3,3410,1,"308400004000000112-0000   112D",240000,253380.603910493,c(-73.91828567368, 40.6143191161466)
"235",3,3420,9,"301059006100000001-0000     3D",899000,912317.889942616,c(-73.9732284205122, 40.6754941764063)
"236",1,1270,4,"101427003800000001-0000     1G",675000,735147.053990217,c(-73.9593469478672, 40.7698581031427)
"237",1,1271,8,"101525000100000001-0000     6H",1475000,1570027.23568954,c(-73.9566879111742, 40.7745262959125)
"238",1,1230,6,"100504003900000001-0000     17",940568,1003944.96319801,c(-74.0034014732289, 40.7254642120785)
"239",4,4310,1,"411446001200000004-0000     3H",162000,148791.083259033,c(-73.8493705181512, 40.6659728450882)
"240",2,2300,9,"205953003800000001-0000    20V",440000,427475.879604921,c(-73.9058351988851, 40.906974041001)
"241",1,1220,1,"100909001500000001-0000     5B",335000,351082.924081651,c(-73.9793520357236, 40.7415785333699)
"242",4,4050,4,"405878000300000001-0000     2K",295000,292067.17260653,c(-73.7819471174009, 40.780451839894)
"243",4,4320,6,"401454000100000002-0000     5G",350000,378261.764884307,c(-73.8742656001621, 40.7544212809746)
"244",4,4370,3,"403335002300000001-0000    14B",266000,278614.69899449,c(-73.833725561877, 40.7121757035697)
"245",3,3233,2,"301325000100000001-0000    B23",275000,224387.548624413,c(-73.9433061201223, 40.6632660517416)
"246",4,4050,1,"405863020000000001-0000     4J",200000,248374.583588552,c(-73.7840382347187, 40.7821528179683)
"247",4,4050,6,"405938000700000001-0000    12L",350000,406473.838548944,c(-73.7764899004302, 40.7853765548844)
